departamento,municipio,fecha_hecho,anio,mes,dia,trimestre,anio_mes,dia_semana,es_fin_de_semana,genero,es_mujer,grupo_etario,grupo_edad_simple,armas_medios,arma_categoria,categoria,subtipo_delito,cantidad,es_zona_metro
SANTANDER,BUCARAMANGA (CT),2014-07-31,2014,7,31,3,2014-07,3,0,FEMENINO,1,ADOLESCENTES,MENOR_EDAD,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,1
SANTANDER,BARRANCABERMEJA,2014-08-08,2014,8,8,3,2014-08,4,0,FEMENINO,1,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,PUENTE NACIONAL,2014-07-11,2014,7,11,3,2014-07,4,0,FEMENINO,1,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,RIONEGRO,2014-07-05,2014,7,5,3,2014-07,5,1,MASCULINO,0,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,PUERTO PARRA,2014-08-27,2014,8,27,3,2014-08,2,0,MASCULINO,0,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,ALBANIA,2014-07-16,2014,7,16,3,2014-07,2,0,MASCULINO,0,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,GUAVATÁ,2014-08-07,2014,8,7,3,2014-08,3,0,FEMENINO,1,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,CIMITARRA,2014-09-13,2014,9,13,3,2014-09,5,1,FEMENINO,1,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,SABANA DE TORRES,2014-09-10,2014,9,10,3,2014-09,2,0,MASCULINO,0,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,PUERTO PARRA,2014-08-27,2014,8,27,3,2014-08,2,0,MASCULINO,0,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,PUERTO PARRA,2014-08-23,2014,8,23,3,2014-08,5,1,MASCULINO,0,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,BUCARAMANGA (CT),2014-11-21,2014,11,21,4,2014-11,4,0,MASCULINO,0,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,1
SANTANDER,BARRANCABERMEJA,2014-11-19,2014,11,19,4,2014-11,2,0,MASCULINO,0,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,BARRANCABERMEJA,2014-11-15,2014,11,15,4,2014-11,5,1,MASCULINO,0,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,BARRANCABERMEJA,2014-11-24,2014,11,24,4,2014-11,0,0,FEMENINO,1,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,SABANA DE TORRES,2014-11-05,2014,11,5,4,2014-11,2,0,MASCULINO,0,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,VÉLEZ,2014-11-04,2014,11,4,4,2014-11,1,0,MASCULINO,0,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,BARRANCABERMEJA,2015-01-12,2015,1,12,1,2015-01,0,0,MASCULINO,0,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,VALLE DE SAN JOSÉ,2015-01-15,2015,1,15,1,2015-01,3,0,MASCULINO,0,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,CHARALÁ,2013-01-24,2013,1,24,1,2013-01,3,0,FEMENINO,1,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,LANDÁZURI,2013-03-22,2013,3,22,1,2013-03,4,0,MASCULINO,0,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,SUAITA,2013-04-04,2013,4,4,2,2013-04,3,0,MASCULINO,0,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,CIMITARRA,2013-08-06,2013,8,6,3,2013-08,1,0,MASCULINO,0,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,PIEDECUESTA,2013-09-09,2013,9,9,3,2013-09,0,0,MASCULINO,0,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,1
SANTANDER,RIONEGRO,2013-06-01,2013,6,1,2,2013-06,5,1,MASCULINO,0,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,CHARALÁ,2012-12-30,2012,12,30,4,2012-12,6,1,MASCULINO,0,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,RIONEGRO,2012-10-18,2012,10,18,4,2012-10,3,0,MASCULINO,0,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,CIMITARRA,2013-08-23,2013,8,23,3,2013-08,4,0,MASCULINO,0,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,BARRANCABERMEJA,2013-03-08,2013,3,8,1,2013-03,4,0,MASCULINO,0,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,BARRANCABERMEJA,2013-01-20,2013,1,20,1,2013-01,6,1,MASCULINO,0,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,SAN VICENTE DE CHUCURÍ,2013-10-18,2013,10,18,4,2013-10,4,0,MASCULINO,0,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,SABANA DE TORRES,2013-11-16,2013,11,16,4,2013-11,5,1,MASCULINO,0,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,MATANZA,2013-08-16,2013,8,16,3,2013-08,4,0,FEMENINO,1,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,BARRANCABERMEJA,2013-09-12,2013,9,12,3,2013-09,3,0,MASCULINO,0,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,0
