departamento,municipio,fecha_hecho,anio,mes,dia,trimestre,anio_mes,dia_semana,es_fin_de_semana,genero,es_mujer,grupo_etario,grupo_edad_simple,armas_medios,arma_categoria,categoria,subtipo_delito,cantidad,es_zona_metro
SANTANDER,FLORIDABLANCA,2015-02-12,2015,2,12,1,2015-02,3,0,FEMENINO,1,ADULTOS,ADULTO,CONTUNDENTES,ARMA_CONTUNDENTE,DELITOS_SEXUALES,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,1,1
SANTANDER,BUCARAMANGA (CT),2015-02-02,2015,2,2,1,2015-02,0,0,FEMENINO,1,ADULTOS,ADULTO,CONTUNDENTES,ARMA_CONTUNDENTE,DELITOS_SEXUALES,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,1,1
SANTANDER,BUCARAMANGA (CT),2015-02-14,2015,2,14,1,2015-02,5,1,FEMENINO,1,MENORES,MENOR_EDAD,CONTUNDENTES,ARMA_CONTUNDENTE,DELITOS_SEXUALES,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,1,1
SANTANDER,BARRANCABERMEJA,2015-02-10,2015,2,10,1,2015-02,1,0,FEMENINO,1,ADULTOS,ADULTO,CONTUNDENTES,ARMA_CONTUNDENTE,DELITOS_SEXUALES,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,1,0
SANTANDER,BUCARAMANGA (CT),2015-02-14,2015,2,14,1,2015-02,5,1,FEMENINO,1,MENORES,MENOR_EDAD,CONTUNDENTES,ARMA_CONTUNDENTE,DELITOS_SEXUALES,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,1,1
SANTANDER,BUCARAMANGA (CT),2015-02-13,2015,2,13,1,2015-02,4,0,FEMENINO,1,MENORES,MENOR_EDAD,CONTUNDENTES,ARMA_CONTUNDENTE,DELITOS_SEXUALES,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,1,1
SANTANDER,BUCARAMANGA (CT),2014-12-21,2014,12,21,4,2014-12,6,1,FEMENINO,1,ADULTOS,ADULTO,CONTUNDENTES,ARMA_CONTUNDENTE,DELITOS_SEXUALES,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,1,1
SANTANDER,PIEDECUESTA,2015-01-29,2015,1,29,1,2015-01,3,0,FEMENINO,1,ADOLESCENTES,MENOR_EDAD,CONTUNDENTES,ARMA_CONTUNDENTE,DELITOS_SEXUALES,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,1,1
SANTANDER,CIMITARRA,2015-02-13,2015,2,13,1,2015-02,4,0,FEMENINO,1,ADULTOS,ADULTO,CONTUNDENTES,ARMA_CONTUNDENTE,DELITOS_SEXUALES,ARTÍCULO 206. ACTO SEXUAL VIOLENTO,1,0
SANTANDER,BUCARAMANGA (CT),2014-12-04,2014,12,4,4,2014-12,3,0,FEMENINO,1,ADOLESCENTES,MENOR_EDAD,CONTUNDENTES,ARMA_CONTUNDENTE,DELITOS_SEXUALES,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,1,1
SANTANDER,PIEDECUESTA,2015-02-15,2015,2,15,1,2015-02,6,1,FEMENINO,1,ADULTOS,ADULTO,CONTUNDENTES,ARMA_CONTUNDENTE,DELITOS_SEXUALES,ARTÍCULO 211. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR (CIRCUNSTANCIAS AGRAVACIÓN,1,1
SANTANDER,BUCARAMANGA (CT),2014-12-08,2014,12,8,4,2014-12,0,0,MASCULINO,0,ADULTOS,ADULTO,CONTUNDENTES,ARMA_CONTUNDENTE,DELITOS_SEXUALES,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,1,1
SANTANDER,BUCARAMANGA (CT),2015-02-06,2015,2,6,1,2015-02,4,0,FEMENINO,1,ADULTOS,ADULTO,CONTUNDENTES,ARMA_CONTUNDENTE,DELITOS_SEXUALES,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,1,1
